experiment,model,balanced_accuracy,macro_f1,accuracy,mcc,sensitivity,specificity,roc_auc,average_precision,subject,n_epochs
E05_none,erd_lr,0.7,0.6917265585826509,0.6954022988505747,0.4131911032332472,0.8333333333333334,0.5666666666666667,0.767989417989418,0.721234215001034,43,174
E05_none,erd_lr,0.5833333333333334,0.583011583011583,0.5833333333333334,0.16692446522239718,0.6111111111111112,0.5555555555555556,0.6144444444444445,0.5789348994527586,44,180
E05_none,erd_lr,0.6222222222222222,0.6064814814814815,0.6222222222222222,0.2667107547328796,0.8222222222222222,0.4222222222222222,0.6883950617283949,0.716336689045529,45,180
E05_none,erd_lr,0.5777777777777777,0.5713748590048878,0.5777777777777777,0.16042223697993696,0.45555555555555555,0.7,0.6228395061728395,0.6691555276289044,46,180
E05_none,erd_lr,0.6042483660130719,0.5929691653375864,0.6,0.21786873075273708,0.45555555555555555,0.7529411764705882,0.670718954248366,0.7081831427381664,47,175
E05_none,erd_lr,0.6277777777777778,0.6251748251748253,0.6277777777777778,0.2591806381167451,0.7111111111111111,0.5444444444444444,0.7050617283950618,0.733564457660867,48,180
E05_none,erd_lr,0.7555555555555555,0.7494939271255061,0.7555555555555555,0.5378002295766989,0.9111111111111111,0.6,0.8817283950617284,0.8915920581318388,49,180
E05_none,erd_lr,0.5252461322081575,0.5201051709027169,0.5207100591715976,0.05085838927759231,0.45555555555555555,0.5949367088607594,0.5867791842475386,0.6656665405491005,50,169
E05_none,erd_lr,0.6833333333333333,0.6780772489096671,0.6833333333333333,0.37926024108985656,0.8111111111111111,0.5555555555555556,0.7623456790123457,0.7738308753858176,51,180
E05_none,erd_lr,0.7,0.6999629583899247,0.7,0.4000988020269483,0.7111111111111111,0.6888888888888889,0.7682716049382715,0.804480771562814,52,180
E05_none,erd_lr,0.5722222222222222,0.5623756749076443,0.5722222222222222,0.15141892085983263,0.4222222222222222,0.7222222222222222,0.6123456790123457,0.6080841110566501,53,180
E05_none,erd_lr,0.6108585858585859,0.6045590650053125,0.6123595505617978,0.23023217734437465,0.7444444444444445,0.4772727272727273,0.6510101010101011,0.6708595934215762,54,178
E05_none,erd_lr,0.6777777777777778,0.6763392857142857,0.6777777777777778,0.3587588234647,0.7444444444444445,0.6111111111111112,0.7496296296296296,0.7718280788441467,55,180
E05_none,erd_lr,0.5833333333333333,0.5833204728541004,0.5833333333333334,0.166676955685207,0.5888888888888889,0.5777777777777777,0.6020987654320988,0.589921589982118,56,180
E05_none,erd_lr,0.8016795865633075,0.801129943502825,0.8011363636363636,0.6035541510516033,0.8255813953488372,0.7777777777777778,0.8728682170542637,0.8535013583908239,57,176
E05_none,erd_lr,0.5388888888888889,0.5247940456121378,0.5388888888888889,0.08284748880597882,0.36666666666666664,0.7111111111111111,0.5587654320987654,0.5392998091863902,58,180
E05_none,erd_lr,0.6248366013071895,0.6218569931901519,0.6228571428571429,0.2517550878694156,0.5555555555555556,0.6941176470588235,0.6732026143790849,0.6471514761228451,59,175
E05_none,erd_lr,0.7055555555555555,0.7051095793020308,0.7055555555555556,0.412360265662268,0.6666666666666666,0.7444444444444445,0.7593827160493828,0.7848008578824242,60,180
E05_none,erd_lr,0.6611111111111111,0.6493245185398102,0.6611111111111111,0.346344275885009,0.4777777777777778,0.8444444444444444,0.7603703703703705,0.7554108566264385,61,180
E05_none,erd_lr,0.5623015873015873,0.5622931285581888,0.5632183908045977,0.12473523947819101,0.5888888888888889,0.5357142857142857,0.6010582010582011,0.6246766812781673,62,174
E05_none,erd_lr,0.55,0.5488721804511278,0.55,0.10050378152592121,0.5,0.6,0.5762962962962963,0.5969558459889324,63,180
E05_none,erd_lr,0.6777777777777778,0.6752115480338476,0.6777777777777778,0.36131100174171593,0.7666666666666667,0.5888888888888889,0.7490123456790123,0.790265271822837,64,180
