subject,e00,e01,difference_e01_minus_e00
42,0.5388888888888889,0.5777777777777778,0.0388888888888889
43,0.6521514629948365,0.733132530120482,0.0809810671256454
44,0.4963829787234042,0.617872340425532,0.1214893617021277
45,0.5318694463431306,0.5833902939166097,0.051520847573479
46,0.540476512792744,0.6125626099905239,0.0720860971977799
47,0.519281045751634,0.6258169934640523,0.1065359477124182
49,0.5,0.753968253968254,0.2539682539682539
50,0.5718706047819971,0.530028129395218,-0.0418424753867791
51,0.5611111111111111,0.6611111111111111,0.0999999999999999
52,0.5952380952380952,0.6994047619047619,0.1041666666666666
53,0.4952431289640592,0.5708245243128964,0.0755813953488372
54,0.3962264150943396,0.5660377358490566,0.1698113207547169
55,0.5444444444444445,0.7055555555555555,0.1611111111111109
56,0.5196078431372549,0.6054384017758047,0.0858305586385497
57,0.6871035940803383,0.7646670190274841,0.0775634249471458
58,0.5021464646464646,0.5133838383838384,0.0112373737373737
59,0.5719919786096257,0.6650401069518717,0.0930481283422459
60,0.5391785814409868,0.6845388281469021,0.1453602467059153
61,0.4972534332084893,0.6602372034956304,0.162983770287141
62,0.5085607276618512,0.6003210272873194,0.0917602996254681
63,0.5063349007314525,0.5367032392894462,0.0303683385579937
64,0.6111111111111112,0.6499999999999999,0.0388888888888887
65,0.4834224598930481,0.6230614973262032,0.1396390374331551
66,0.6147177139686503,0.594534609515883,-0.0201831044527672
67,0.5888888888888889,0.5388888888888889,-0.05
68,0.5334525025536262,0.6117211440245148,0.0782686414708886
69,0.5277777777777777,0.5722222222222222,0.0444444444444445
70,0.4888888888888889,0.5277777777777778,0.0388888888888888
71,0.5111111111111111,0.6277777777777778,0.1166666666666667
72,0.6055555555555556,0.6333333333333333,0.0277777777777776
73,0.5018970189701897,0.5368563685636857,0.034959349593496
74,0.5333333333333333,0.6277777777777778,0.0944444444444444
75,0.5626216742375081,0.6403850313649145,0.0777633571274064
76,0.5321285140562249,0.6637215528781794,0.1315930388219545
77,0.6943076081007116,0.784072249589491,0.0897646414887793
78,0.5153409090909091,0.6107954545454546,0.0954545454545454
79,0.5575447570332481,0.6636828644501278,0.1061381074168796
80,0.5327633378932968,0.6430232558139535,0.1102599179206567
81,0.5722222222222222,0.8833333333333333,0.3111111111111111
82,0.5666666666666667,0.6222222222222222,0.0555555555555555
83,0.5229822161422708,0.73187414500684,0.2088919288645692
84,0.4383959705540488,0.6071935942141289,0.16879762366008
85,0.5899545211342964,0.58607544141252,-0.0038790797217763
86,0.5322660098522167,0.5839080459770115,0.0516420361247947
87,0.6861471861471862,0.667478354978355,-0.0186688311688312
88,0.4644183168316831,0.4698329207920792,0.005414603960396
89,0.4929553264604811,0.702061855670103,0.2091065292096219
90,0.4943181818181818,0.5852272727272727,0.0909090909090908
91,0.5530757689422355,0.6691672918229558,0.1160915228807202
92,0.5373031224095054,0.5101547388781431,-0.0271483835313622
93,0.4575949367088607,0.5525316455696202,0.0949367088607594
94,0.630984952120383,0.7660054719562244,0.1350205198358414
95,0.6,0.60625,0.0062499999999999
96,0.5620777027027026,0.6853885135135135,0.1233108108108108
97,0.4753264500455512,0.6346796234436685,0.1593531733981172
98,0.4944444444444444,0.55,0.0555555555555555
99,0.5696969696969697,0.4878787878787879,-0.0818181818181817
100,0.5178571428571428,0.6309523809523809,0.1130952380952381
101,0.6111111111111112,0.5888888888888889,-0.0222222222222222
102,0.5611111111111111,0.5944444444444444,0.0333333333333333
103,0.5963855421686747,0.5421686746987951,-0.0542168674698795
104,0.6133281673769857,0.591372852899393,-0.0219553144775926
105,0.5026570048309179,0.6260869565217391,0.1234299516908211
106,0.4438636363636363,0.4515151515151515,0.0076515151515151
107,0.4634146341463415,0.451379974326059,-0.0120346598202824
108,0.5789210789210789,0.7003996003996005,0.1214785214785215
