perm_id,statistic
756,0.5088197478539052
757,0.5079191976999686
758,0.5043539430881945
759,0.5018664541707117
760,0.4973001192437939
761,0.5098226805964505
762,0.4930042186425808
763,0.5025262718928296
764,0.5032573216876738
765,0.4973886502498019
766,0.5025761548468745
767,0.5012834440783841
768,0.5004920112917903
769,0.5101601525083228
770,0.5038387917443036
771,0.5017572495583098
772,0.5093644044126115
773,0.5073781902335747
774,0.4915374152148652
775,0.5001887057786496
776,0.5032125343857377
777,0.5042837657039233
778,0.4929961950389095
779,0.4988818418565498
780,0.4988690786984985
781,0.4904378732904677
782,0.495027895542928
783,0.4981921027863541
784,0.4977351824450467
785,0.4972668886150472
786,0.4992772454040665
787,0.5012226306272034
788,0.5089926458962472
789,0.500734581989717
790,0.5034178293402571
791,0.49840407539596
792,0.5076119578740933
793,0.5139135436557107
794,0.4902097469983186
795,0.5067586498000389
796,0.5015270664952243
797,0.5027021473176586
798,0.5036011760843714
799,0.4909532836562096
800,0.4942859533702682
801,0.4955326457472406
802,0.4999111731944199
803,0.5084418361732426
804,0.5016474531117874
805,0.4957728734973293
806,0.4972920037145165
807,0.5026536022996234
808,0.5031758848555664
809,0.4971949096718424
810,0.4887215059807335
811,0.4874147595004496
812,0.4962932651187394
813,0.5080274432560178
814,0.4936498641929484
815,0.5086625359941592
816,0.5032853257771007
817,0.497548760888605
818,0.4988737569968837
819,0.4993138011636288
820,0.5004109897425112
821,0.5018547095530455
822,0.5027355327054219
823,0.4970144410345052
824,0.4954479445063278
825,0.5078864841322657
826,0.4929562313636668
827,0.4993827473463637
828,0.4934864560760769
829,0.4998320810942883
830,0.5079943632469133
831,0.4957750594551017
832,0.4918696564933543
833,0.5065958210560394
834,0.5004073951566107
835,0.502803805680832
836,0.4923154135026129
837,0.5019434287772077
838,0.4971617765001596
839,0.5007313877904223
840,0.501867967051081
841,0.4916496655643732
842,0.50085894328764
843,0.4908088712600849
844,0.4967315130252591
845,0.5061132919973474
846,0.4884977915530248
847,0.4937277851054527
848,0.4975464996953434
849,0.5007821673954814
850,0.5032779458442822
851,0.5022389783751011
852,0.4971232747028585
853,0.4943678142467581
854,0.5021991949112932
855,0.5100775435994265
856,0.5042664116751655
857,0.5010847244174055
858,0.4975795311406268
859,0.4984334369315403
860,0.5119024888983912
861,0.5022534679341395
862,0.5028827167704742
863,0.49898027037551
864,0.5003264319034849
865,0.5048585993470635
866,0.505227608193067
867,0.5006983012326645
868,0.5015060687627508
869,0.5043044353916989
870,0.5009866444811562
871,0.5053468495054214
872,0.4916536212542645
873,0.5044969443877073
874,0.4971621553966291
875,0.4950387085820132
876,0.5019836685331308
877,0.4903298690631534
878,0.506317910553564
879,0.5012917110371076
880,0.5018846940934057
881,0.4996158028240923
882,0.5015897185374438
883,0.5004502724857266
884,0.4978631412584312
885,0.5126568794836559
886,0.5066175579677771
887,0.4975491509128513
888,0.5084698673765524
889,0.4933565957101584
890,0.4990659496612549
891,0.4956624182291794
892,0.4877720416153225
893,0.5039728863522047
894,0.4850927203231646
895,0.5037340611787823
896,0.4987033704208832
897,0.4948090961852722
898,0.4991672693267983
899,0.4939945048836242
900,0.4972969380844651
901,0.4907565705975316
902,0.5036934249201869
903,0.4957685551839056
904,0.5128975220534794
905,0.5021594739445704
906,0.5017934616572882
907,0.5087960885769729
908,0.4999675577559405
909,0.4934218286399215
910,0.5038988508896911
911,0.5041234292375602
912,0.5091937099845391
913,0.4974214107822809
914,0.5066162926449173
915,0.5008885492478495
916,0.5051806769683395
917,0.5078642600661084
918,0.4922081031832319
919,0.5035569127406004
920,0.5092057617775188
921,0.5077995514225934
922,0.4903656800414556
923,0.4987588615411667
924,0.507042108455547
925,0.497581606761436
926,0.4981775509366892
927,0.4985966716738109
928,0.4971881728294099
929,0.4987235132670466
930,0.4917124932431817
931,0.4991093466745661
932,0.4924676722452384
933,0.5006908393530504
934,0.497052293815949
935,0.5110434227899843
936,0.5046038906528941
937,0.5016366510649302
938,0.4978967863818204
939,0.5071429760794137
940,0.5022064191763802
941,0.4910350200096904
942,0.5087810901630735
943,0.5075736285073904
944,0.5021461967157403
945,0.5052510146162931
946,0.5021891394453879
947,0.4980288456765234
948,0.5010580343048068
949,0.5165875223012396
950,0.4967852547893541
951,0.5038398424386519
952,0.50379782575958
953,0.5050134408273926
954,0.4832824194265775
955,0.496765710920128
956,0.4975969968992981
957,0.5146238215641158
958,0.4970410502804495
959,0.4970351162694811
960,0.5002777594192305
961,0.505486986583935
962,0.493015115237838
963,0.5024233650316624
964,0.5034131262776097
965,0.4936703080102252
966,0.5040987715766055
967,0.5020425030855856
968,0.5026289026798949
969,0.5028103447830573
970,0.4941452710712588
971,0.5047076244595502
972,0.501849720231111
973,0.50131789767638
974,0.4993303546248882
975,0.5088519490723749
976,0.4999480064185974
977,0.4958602060101134
978,0.4987540273589685
979,0.4875557119916947
980,0.5030290825351437
981,0.4938267196591385
982,0.5104030617153077
983,0.5033868479290571
984,0.5001826310723897
985,0.4933416394956518
986,0.4926805959957296
987,0.5040101854058107
988,0.5039699368062798
989,0.5003514945640545
990,0.4982685487517744
991,0.504224436784508
992,0.4938798066493718
993,0.5010040290469044
994,0.5037582002116754
995,0.5008721401323217
996,0.501654010952889
997,0.5073723178667734
998,0.5009494158662782
999,0.4970851295859579
