experiment,model,balanced_accuracy,macro_f1,accuracy,mcc,sensitivity,specificity,roc_auc,average_precision,subject,n_epochs
E05_spatial_control,erd_lr,0.48832831325301207,0.4524494318449715,0.46258503401360546,-0.025272470681112137,0.2891566265060241,0.6875,0.5256024096385542,0.5845675635447175,88,147
E05_spatial_control,erd_lr,0.6291523482245132,0.6238505747126437,0.6256684491978609,0.2622392651215566,0.5360824742268041,0.7222222222222222,0.6682703321878579,0.6529811667183381,89,187
E05_spatial_control,erd_lr,0.5116892911010558,0.5072324011571842,0.5205479452054794,0.02415622876811428,0.38235294117647056,0.6410256410256411,0.5520361990950226,0.5891096139786247,90,73
E05_spatial_control,erd_lr,0.5791977611940299,0.5411764705882353,0.5578231292517006,0.17868212722490187,0.3375,0.8208955223880597,0.6033582089552239,0.6181998233590605,92,147
E05_spatial_control,erd_lr,0.503370786516854,0.5004095879189372,0.5088757396449705,0.0068811932289620644,0.4,0.6067415730337079,0.4890449438202248,0.49958637964499186,93,169
E05_spatial_control,erd_lr,0.641025641025641,0.6369597615499254,0.6379310344827587,0.28003119315540237,0.6153846153846154,0.6666666666666666,0.7176470588235294,0.752571058029043,94,116
E05_spatial_control,erd_lr,0.6740442655935615,0.6716417910447762,0.6716417910447762,0.34808853118712274,0.7142857142857143,0.6338028169014085,0.6579476861167001,0.6176899914798084,97,134
E05_spatial_control,erd_lr,0.5333333333333333,0.5275,0.5333333333333333,0.06837634587578277,0.4222222222222222,0.6444444444444445,0.5355555555555556,0.5273038224429292,98,180
E05_spatial_control,erd_lr,0.6756112104949314,0.6719495306970302,0.6829268292682927,0.3698902364385757,0.5256410256410257,0.8255813953488372,0.7459749552772809,0.7497152289512913,101,164
E05_spatial_control,erd_lr,0.5666666666666667,0.5661846496106786,0.5666666666666667,0.1336306209562122,0.6,0.5333333333333333,0.6061728395061728,0.6379971439669382,102,180
E05_spatial_control,erd_lr,0.5861423220973783,0.5829519265102088,0.5852272727272727,0.17449591088081015,0.5056179775280899,0.6666666666666666,0.6079039132119334,0.6093243859742348,104,176
E05_spatial_control,erd_lr,0.5964802011313639,0.585166561910748,0.5875,0.1974805821150024,0.7162162162162162,0.47674418604651164,0.6010370835952231,0.563920538561236,105,160
E05_spatial_control,erd_lr,0.5466505475750248,0.5434617196275227,0.5535714285714286,0.09589338156395012,0.43037974683544306,0.6629213483146067,0.5380457971838998,0.5618605412525817,109,168
